"density","pH","sulphates","alcohol","quality","Wine_ID"
"1.001","3","0.45","8.8","6","1"
"0.994","3.3","0.49","9.5","6","2"
"0.9951","3.3","0.44","10.1","6","3"
"0.9956","3.2","0.4","9.9","6","4"
"0.9956","3.2","0.4","9.9","6","5"
"0.9951","3.3","0.44","10.1","6","6"
"0.9949","3.2","0.47","9.6","6","7"
"1.001","3","0.45","8.8","6","8"
"0.994","3.3","0.49","9.5","6","9"
"0.9938","3.2","0.45","11","6","10"
"0.9908","3","0.56","12","5","11"
"0.9947","3.1","0.53","9.7","5","12"
"0.992","3.2","0.63","10.8","5","13"
"0.9912","3.5","0.52","12.4","7","14"
"1.0002","3","0.67","9.7","5","15"
"0.9914","3.3","0.55","11.4","7","16"
"0.9928","3.2","0.36","9.6","6","17"
"0.9892","3.3","0.39","12.8","8","18"
"0.9917","3.1","0.53","11.3","6","19"
"0.9955","3.2","0.5","9.5","5","20"
"0.9892","3.3","0.39","12.8","8","21"
"0.9912","3.2","0.35","11","7","22"
"0.993","3.5","0.48","10.5","8","23"
"0.9937","3.1","0.51","9.3","5","24"
"0.9951","3.4","0.47","10","6","25"
"0.9955","3.3","0.5","10.4","6","26"
"0.993","3.5","0.44","10","6","27"
"0.9961","3.4","0.53","10.5","6","28"
"0.9914","3.2","0.49","11.6","6","29"
"0.9906","3.1","0.71","12.3","7","30"
"0.9974","3.2","0.53","10","6","31"
"0.9934","3.5","0.4","10.2","6","32"
"0.992","3.2","0.44","10.8","6","33"
"0.9939","3.4","0.51","9","6","34"
"0.9962","3.4","0.37","10.2","5","35"
"0.9905","3.2","0.42","12.8","5","36"
"0.9934","3.2","0.35","10","5","37"
"0.9906","3.1","0.28","11.2","6","38"
"0.9999","3.2","0.36","8.6","5","39"
"0.9999","3.2","0.36","8.6","5","40"
"0.9937","3.1","0.36","9.4","6","41"
"0.9937","3.1","0.34","9.4","6","42"
"0.9954","3.1","0.46","9.8","6","43"
"0.9934","3.2","0.56","9.5","6","44"
"0.9934","3.2","0.56","9.5","6","45"
"0.9931","3.2","0.53","10","7","46"
"0.994","3.3","0.52","9.8","4","47"
"0.9939","3.3","0.52","9.8","5","48"
"0.9954","3.1","0.46","9.8","6","49"
"0.995","3.4","0.48","9.8","5","50"
"0.9917","3.4","0.44","11.7","6","51"
"0.9914","3.3","0.58","11","7","52"
"0.991","3.3","0.46","10.9","7","53"
"0.9911","3.3","0.35","10.9","6","54"
"0.993","3.1","0.38","9.1","6","55"
"0.9908","3.1","0.52","11","6","56"
"0.9962","3.1","0.5","9.6","6","57"
"0.9972","3.3","0.36","8.9","6","58"
"0.9931","3.1","0.38","10.2","6","59"
"0.9926","3.4","0.34","9.9","6","60"
"0.9951","3","0.46","8.6","6","61"
"0.9972","3.3","0.36","8.9","6","62"
"0.991","3","0.34","10.5","5","63"
"0.9931","3.1","0.38","10.2","6","64"
"0.9927","3.2","0.46","10.3","6","65"
"0.9934","3.2","0.54","9.1","5","66"
"0.9903","3.2","0.49","12.6","7","67"
"0.992","3.1","0.42","9.8","5","68"
"0.9926","3.3","0.64","10.7","8","69"
"0.9962","3.1","0.35","9.5","5","70"
"0.9956","3.1","0.51","9","6","71"
"0.9958","3.3","0.6","9.5","5","72"
"0.9964","3.7","0.71","10","5","73"
"0.9941","3","0.49","9.1","6","74"
"0.9926","3.3","0.64","10.7","8","75"
"0.9962","3.1","0.35","9.5","5","76"
"0.9898","3.3","0.37","12.7","7","77"
"0.9912","3.3","0.65","12","7","78"
"0.9961","2.9","0.56","9.3","5","79"
"0.9949","3.3","0.37","9","5","80"
"0.9929","3.4","0.77","10.6","6","81"
"0.9985","3.2","0.6","9.2","6","82"
"0.9946","3.2","0.42","10","5","83"
"0.9966","3.3","0.46","9.5","6","84"
"0.9974","3.1","0.45","8.7","5","85"
"0.9975","3.1","0.46","8.7","6","86"
"0.9974","3.1","0.44","8.7","6","87"
"0.9972","3.2","0.48","9.7","6","88"
"0.9974","3.1","0.45","8.7","5","89"
"0.9975","3.1","0.46","8.7","6","90"
"0.9974","3.1","0.44","8.7","6","91"
"0.9957","3.1","0.47","9","5","92"
"0.99","3.3","0.4","12.6","7","93"
"0.9899","3.3","0.41","12.6","7","94"
"0.9916","3.2","0.44","11.5","7","95"
"0.9969","3","0.42","9.2","6","96"
"0.9979","3.1","0.5","8.8","6","97"
"0.9913","3","0.36","11.4","7","98"
"0.9956","2.9","0.3","10.1","4","99"
"0.9979","3.1","0.5","8.8","6","100"
"0.9975","3","0.44","9.1","5","101"
"0.9962","3.4","0.41","9.4","5","102"
"0.997","3.3","0.39","9.4","5","103"
"1","3","0.46","9","5","104"
"0.9975","3","0.44","9.1","5","105"
"0.9974","3.2","0.35","9.2","6","106"
"0.9962","3.4","0.41","9.4","5","107"
"0.999","3.2","0.59","9.1","6","108"
"0.999","3.2","0.59","9.1","6","109"
"0.9927","3.3","0.6","10.3","5","110"
"0.9959","2.9","0.39","8.8","6","111"
"1","3","0.52","8.9","5","112"
"0.9982","3","0.47","9.2","5","113"
"0.9968","3.2","0.51","9.1","5","114"
"0.9968","3.2","0.51","9.1","5","115"
"0.994","3.6","0.4","9.7","4","116"
"0.9914","3.3","0.44","11.3","6","117"
"0.9911","3.2","0.42","11.8","6","118"
"0.9982","3","0.47","9.2","5","119"
"0.9982","3","0.5","9.2","5","120"
"0.9934","3.2","0.51","10.2","5","121"
"0.9984","3","0.54","8.8","5","122"
"0.9952","3.3","0.34","9.7","5","123"
"0.9952","3.3","0.36","9.1","6","124"
