"fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","Wine_ID"
"7","0.27","0.36","20.7","0.045","45","170","1"
"6.3","0.3","0.34","1.6","0.049","14","132","2"
"8.1","0.28","0.4","6.9","0.05","30","97","3"
"7.2","0.23","0.32","8.5","0.058","47","186","4"
"7.2","0.23","0.32","8.5","0.058","47","186","5"
"8.1","0.28","0.4","6.9","0.05","30","97","6"
"6.2","0.32","0.16","7","0.045","30","136","7"
"7","0.27","0.36","20.7","0.045","45","170","8"
"6.3","0.3","0.34","1.6","0.049","14","132","9"
"8.1","0.22","0.43","1.5","0.044","28","129","10"
"8.1","0.27","0.41","1.45","0.033","11","63","11"
"8.6","0.23","0.4","4.2","0.035","17","109","12"
"7.9","0.18","0.37","1.2","0.04","16","75","13"
"6.6","0.16","0.4","1.5","0.044","48","143","14"
"8.3","0.42","0.62","19.25","0.04","41","172","15"
"6.6","0.17","0.38","1.5","0.032","28","112","16"
"6.3","0.48","0.04","1.1","0.046","30","99","17"
"6.2","0.66","0.48","1.2","0.029","29","75","18"
"7.4","0.34","0.42","1.1","0.033","17","171","19"
"6.5","0.31","0.14","7.5","0.044","34","133","20"
"6.2","0.66","0.48","1.2","0.029","29","75","21"
"6.4","0.31","0.38","2.9","0.038","19","102","22"
"6.8","0.26","0.42","1.7","0.049","41","122","23"
"7.6","0.67","0.14","1.5","0.074","25","168","24"
"6.6","0.27","0.41","1.3","0.052","16","142","25"
"7","0.25","0.32","9","0.046","56","245","26"
"6.9","0.24","0.35","1","0.052","35","146","27"
"7","0.28","0.39","8.7","0.051","32","141","28"
"7.4","0.27","0.48","1.1","0.047","17","132","29"
"7.2","0.32","0.36","2","0.033","37","114","30"
"8.5","0.24","0.39","10.4","0.044","20","142","31"
"8.3","0.14","0.34","1.1","0.042","7","47","32"
"7.4","0.25","0.36","2.05","0.05","31","100","33"
"6.2","0.12","0.34","1.5","0.045","43","117","34"
"5.8","0.27","0.2","14.95","0.044","22","179","35"
"7.3","0.28","0.43","1.7","0.08","21","123","36"
"6.5","0.39","0.23","5.4","0.051","25","149","37"
"7","0.33","0.32","1.2","0.053","38","138","38"
"7.3","0.24","0.39","17.95","0.057","45","149","39"
"7.3","0.24","0.39","17.95","0.057","45","149","40"
"6.7","0.23","0.39","2.5","0.172","63","158","41"
"6.7","0.24","0.39","2.9","0.173","63","157","42"
"7","0.31","0.26","7.4","0.069","28","160","43"
"6.6","0.24","0.27","1.4","0.057","33","152","44"
"6.7","0.23","0.26","1.4","0.06","33","154","45"
"7.4","0.18","0.31","1.4","0.058","38","167","46"
"6.2","0.45","0.26","4.4","0.063","63","206","47"
"6.2","0.46","0.25","4.4","0.066","62","207","48"
"7","0.31","0.26","7.4","0.069","28","160","49"
"6.9","0.19","0.35","5","0.067","32","150","50"
"7.2","0.19","0.31","1.6","0.062","31","173","51"
"6.6","0.25","0.29","1.1","0.068","39","124","52"
"6.2","0.16","0.33","1.1","0.057","21","82","53"
"6.4","0.18","0.35","1","0.045","39","108","54"
"6.8","0.2","0.59","0.9","0.147","38","132","55"
"6.9","0.25","0.35","1.3","0.039","29","191","56"
"7.2","0.21","0.34","11.9","0.043","37","213","57"
"6","0.19","0.26","12.4","0.048","50","147","58"
"6.6","0.38","0.15","4.6","0.044","25","78","59"
"7.4","0.2","0.36","1.2","0.038","44","111","60"
"6.8","0.22","0.24","4.9","0.092","30","123","61"
"6","0.19","0.26","12.4","0.048","50","147","62"
"7","0.47","0.07","1.1","0.035","17","151","63"
"6.6","0.38","0.15","4.6","0.044","25","78","64"
"7.2","0.24","0.27","1.4","0.038","31","122","65"
"6.2","0.35","0.03","1.2","0.064","29","120","66"
"6.4","0.26","0.24","6.4","0.04","27","124","67"
"6.7","0.25","0.13","1.2","0.041","81","174","68"
"6.7","0.23","0.31","2.1","0.046","30","96","69"
"7.4","0.24","0.29","10.1","0.05","21","105","70"
"6.2","0.27","0.43","7.8","0.056","48","244","71"
"6.8","0.3","0.23","4.6","0.061","50.5","238.5","72"
"6","0.27","0.28","4.8","0.063","31","201","73"
"8.6","0.23","0.46","1","0.054","9","72","74"
"6.7","0.23","0.31","2.1","0.046","30","96","75"
"7.4","0.24","0.29","10.1","0.05","21","105","76"
"7.1","0.18","0.36","1.4","0.043","31","87","77"
"7","0.32","0.34","1.3","0.042","20","69","78"
"7.4","0.18","0.3","8.8","0.064","26","103","79"
"6.7","0.54","0.28","5.4","0.06","21","105","80"
"6.8","0.22","0.31","1.4","0.053","34","114","81"
"7.1","0.2","0.34","16","0.05","51","166","82"
"7.1","0.34","0.2","6.1","0.063","47","164","83"
"7.3","0.22","0.3","8.2","0.047","42","207","84"
"7.1","0.43","0.61","11.8","0.045","54","155","85"
"7.1","0.44","0.62","11.8","0.044","52","152","86"
"7.2","0.39","0.63","11","0.044","55","156","87"
"6.8","0.25","0.31","13.3","0.05","69","202","88"
"7.1","0.43","0.61","11.8","0.045","54","155","89"
"7.1","0.44","0.62","11.8","0.044","52","152","90"
"7.2","0.39","0.63","11","0.044","55","156","91"
"6.1","0.27","0.43","7.5","0.049","65","243","92"
"6.9","0.24","0.33","1.7","0.035","47","136","93"
"6.9","0.21","0.33","1.8","0.034","48","136","94"
"7.5","0.17","0.32","1.7","0.04","51","148","95"
"7.1","0.26","0.29","12.4","0.044","62","240","96"
"6","0.34","0.66","15.9","0.046","26","164","97"
"8.6","0.265","0.36","1.2","0.034","15","80","98"
"9.8","0.36","0.46","10.5","0.038","4","83","99"
"6","0.34","0.66","15.9","0.046","26","164","100"
"7.4","0.25","0.37","13.5","0.06","52","192","101"
"7.1","0.12","0.32","9.6","0.054","64","162","102"
"6","0.21","0.24","12.1","0.05","55","164","103"
"7.5","0.305","0.4","18.9","0.059","44","170","104"
"7.4","0.25","0.37","13.5","0.06","52","192","105"
"7.3","0.13","0.32","14.4","0.051","34","109","106"
"7.1","0.12","0.32","9.6","0.054","64","162","107"
"7.1","0.23","0.35","16.5","0.04","60","171","108"
"7.1","0.23","0.35","16.5","0.04","60","171","109"
"6.9","0.33","0.28","1.3","0.051","37","187","110"
"6.5","0.17","0.54","8.5","0.082","64","163","111"
"7.2","0.27","0.46","18.75","0.052","45","255","112"
"7.2","0.31","0.5","13.3","0.056","68","195","113"
"6.7","0.41","0.34","9.2","0.049","29","150","114"
"6.7","0.41","0.34","9.2","0.049","29","150","115"
"5.5","0.485","0","1.5","0.065","8","103","116"
"6","0.31","0.24","3.3","0.041","25","143","117"
"7","0.14","0.4","1.7","0.035","16","85","118"
"7.2","0.31","0.5","13.3","0.056","68","195","119"
"7.3","0.32","0.48","13.3","0.06","57","196","120"
"5.9","0.36","0.04","5.7","0.046","21","87","121"
"7.8","0.24","0.32","12.2","0.054","42","138","122"
"7.4","0.16","0.31","6.85","0.059","31","131","123"
"6.9","0.19","0.28","5","0.058","14","146","124"
"6.4","0.13","0.47","1.6","0.092","40","158","125"
"6.7","0.19","0.36","1.1","0.026","63","143","126"
"7.4","0.39","0.23","7","0.033","29","126","127"
"6.5","0.24","0.32","7.6","0.038","48","203","128"
"6.1","0.3","0.56","2.8","0.044","47","179","129"
"6.1","0.3","0.56","2.7","0.046","46","184","130"
"5.7","0.26","0.25","10.4","0.02","7","57","131"
"6.5","0.24","0.32","7.6","0.038","48","203","132"
"6.5","0.425","0.4","13.1","0.038","59","241","133"
"6.6","0.24","0.27","15.8","0.035","46","188","134"
"6.8","0.27","0.22","8.1","0.034","55","203","135"
"6.7","0.27","0.31","15.7","0.036","44","179","136"
"8.2","0.23","0.4","1.2","0.027","36","121","137"
"7.1","0.37","0.67","10.5","0.045","49","155","138"
